event_id,department,event_type,severity,source
EV0001,HR,Phishing Alert,Critical,Microsoft Sentinel
EV0002,Customer Service,Malware Detection,Medium,Microsoft Defender
EV0003,Claims,Privilege Escalation,Low,Microsoft Entra ID
EV0004,Underwriting,Suspicious Login,Low,Microsoft Defender
EV0005,Customer Service,Phishing Alert,High,Microsoft Defender
EV0006,Customer Service,Phishing Alert,Low,Microsoft Defender
EV0007,Operations,Malware Detection,Medium,Microsoft Entra ID
EV0008,Claims,Suspicious Login,Low,Microsoft Sentinel
EV0009,Operations,Unusual Network Activity,High,Microsoft Sentinel
EV0010,Underwriting,Privilege Escalation,Critical,Microsoft Entra ID
EV0011,Claims,Malware Detection,Medium,Microsoft Entra ID
EV0012,IT,Privilege Escalation,Low,Microsoft Entra ID
EV0013,Underwriting,Unusual Network Activity,High,Microsoft Entra ID
EV0014,Finance,Malware Detection,Low,Microsoft Sentinel
EV0015,Underwriting,Privilege Escalation,Medium,Microsoft Sentinel
EV0016,Claims,Unusual Network Activity,Low,Microsoft Defender
EV0017,Customer Service,Phishing Alert,Low,Microsoft Defender
EV0018,Operations,Failed Login,Medium,Microsoft Entra ID
EV0019,HR,Failed Login,High,Microsoft Defender
EV0020,Finance,Unusual Network Activity,High,Microsoft Sentinel
EV0021,Customer Service,Privilege Escalation,Low,Microsoft Sentinel
EV0022,Underwriting,Successful Login,Critical,Microsoft Entra ID
EV0023,Customer Service,Malware Detection,Low,Microsoft Entra ID
EV0024,Customer Service,Failed Login,Critical,Microsoft Entra ID
EV0025,IT,Malware Detection,High,Microsoft Entra ID
EV0026,IT,Privilege Escalation,Medium,Microsoft Entra ID
EV0027,Underwriting,Privilege Escalation,High,Microsoft Entra ID
EV0028,Customer Service,Suspicious Login,High,Microsoft Sentinel
EV0029,Risk,Failed Login,Low,Microsoft Entra ID
EV0030,Underwriting,Privilege Escalation,High,Microsoft Defender
EV0031,IT,Privilege Escalation,Low,Microsoft Entra ID
EV0032,Claims,Phishing Alert,Medium,Microsoft Sentinel
EV0033,Claims,Successful Login,Low,Microsoft Sentinel
EV0034,Operations,Suspicious Login,High,Microsoft Defender
EV0035,HR,Privilege Escalation,Low,Microsoft Sentinel
EV0036,IT,Privilege Escalation,Medium,Microsoft Defender
EV0037,Underwriting,Malware Detection,Low,Microsoft Sentinel
EV0038,IT,Phishing Alert,Medium,Microsoft Defender
EV0039,Risk,Privilege Escalation,Medium,Microsoft Sentinel
EV0040,Claims,Malware Detection,Low,Microsoft Sentinel
EV0041,Claims,Suspicious Login,Low,Microsoft Defender
EV0042,Finance,Malware Detection,Low,Microsoft Entra ID
EV0043,Operations,Phishing Alert,High,Microsoft Defender
EV0044,Operations,Suspicious Login,Low,Microsoft Sentinel
EV0045,Underwriting,Successful Login,Low,Microsoft Entra ID
EV0046,IT,Successful Login,Medium,Microsoft Entra ID
EV0047,Underwriting,Malware Detection,High,Microsoft Sentinel
EV0048,Operations,Suspicious Login,Medium,Microsoft Entra ID
EV0049,IT,Suspicious Login,Low,Microsoft Sentinel
EV0050,Claims,Unusual Network Activity,Low,Microsoft Entra ID
EV0051,Underwriting,Successful Login,Low,Microsoft Defender
EV0052,Underwriting,Phishing Alert,Low,Microsoft Defender
EV0053,Claims,Successful Login,Low,Microsoft Entra ID
EV0054,Claims,Successful Login,Critical,Microsoft Defender
EV0055,HR,Malware Detection,Low,Microsoft Entra ID
EV0056,Claims,Unusual Network Activity,Low,Microsoft Defender
EV0057,Customer Service,Unusual Network Activity,Low,Microsoft Sentinel
EV0058,Claims,Suspicious Login,Low,Microsoft Defender
EV0059,Customer Service,Malware Detection,Medium,Microsoft Defender
EV0060,Operations,Suspicious Login,High,Microsoft Entra ID
EV0061,IT,Phishing Alert,Medium,Microsoft Entra ID
EV0062,Claims,Phishing Alert,Low,Microsoft Sentinel
EV0063,Finance,Suspicious Login,High,Microsoft Sentinel
EV0064,Underwriting,Successful Login,Medium,Microsoft Sentinel
EV0065,Finance,Successful Login,Medium,Microsoft Entra ID
EV0066,IT,Failed Login,High,Microsoft Defender
EV0067,Finance,Suspicious Login,Low,Microsoft Defender
EV0068,Customer Service,Successful Login,Medium,Microsoft Entra ID
EV0069,Finance,Successful Login,Low,Microsoft Entra ID
EV0070,Risk,Suspicious Login,Low,Microsoft Entra ID
EV0071,Claims,Suspicious Login,Medium,Microsoft Sentinel
EV0072,Underwriting,Unusual Network Activity,High,Microsoft Sentinel
EV0073,IT,Phishing Alert,High,Microsoft Defender
EV0074,Claims,Unusual Network Activity,High,Microsoft Entra ID
EV0075,Risk,Failed Login,Low,Microsoft Defender
EV0076,Finance,Unusual Network Activity,Medium,Microsoft Entra ID
EV0077,IT,Phishing Alert,Medium,Microsoft Entra ID
EV0078,Operations,Malware Detection,Low,Microsoft Sentinel
EV0079,Claims,Successful Login,Low,Microsoft Sentinel
EV0080,Claims,Unusual Network Activity,Low,Microsoft Defender
EV0081,Operations,Unusual Network Activity,Critical,Microsoft Sentinel
EV0082,Operations,Suspicious Login,Medium,Microsoft Entra ID
EV0083,Operations,Successful Login,Medium,Microsoft Entra ID
EV0084,Risk,Phishing Alert,Medium,Microsoft Sentinel
EV0085,Underwriting,Suspicious Login,High,Microsoft Entra ID
EV0086,Underwriting,Phishing Alert,Medium,Microsoft Defender
EV0087,Risk,Unusual Network Activity,Low,Microsoft Entra ID
EV0088,Risk,Malware Detection,Medium,Microsoft Entra ID
EV0089,HR,Suspicious Login,Critical,Microsoft Sentinel
EV0090,Risk,Malware Detection,Low,Microsoft Entra ID
EV0091,Customer Service,Suspicious Login,Low,Microsoft Entra ID
EV0092,Finance,Privilege Escalation,High,Microsoft Sentinel
EV0093,Customer Service,Unusual Network Activity,Low,Microsoft Sentinel
EV0094,Operations,Privilege Escalation,Low,Microsoft Sentinel
EV0095,Finance,Failed Login,Low,Microsoft Entra ID
EV0096,IT,Suspicious Login,Medium,Microsoft Sentinel
EV0097,Risk,Failed Login,High,Microsoft Sentinel
EV0098,Finance,Successful Login,Medium,Microsoft Defender
EV0099,HR,Successful Login,Medium,Microsoft Entra ID
EV0100,Customer Service,Unusual Network Activity,High,Microsoft Sentinel
EV0101,HR,Privilege Escalation,Low,Microsoft Defender
EV0102,Customer Service,Privilege Escalation,Medium,Microsoft Sentinel
EV0103,IT,Failed Login,Medium,Microsoft Entra ID
EV0104,Operations,Failed Login,High,Microsoft Entra ID
EV0105,Underwriting,Failed Login,High,Microsoft Defender
EV0106,Claims,Phishing Alert,Low,Microsoft Entra ID
EV0107,Underwriting,Phishing Alert,Critical,Microsoft Sentinel
EV0108,Underwriting,Unusual Network Activity,Low,Microsoft Defender
EV0109,HR,Suspicious Login,Medium,Microsoft Entra ID
EV0110,Finance,Phishing Alert,Medium,Microsoft Sentinel
EV0111,IT,Privilege Escalation,Medium,Microsoft Defender
EV0112,HR,Failed Login,Low,Microsoft Entra ID
EV0113,Operations,Privilege Escalation,Medium,Microsoft Entra ID
EV0114,IT,Failed Login,High,Microsoft Sentinel
EV0115,Finance,Unusual Network Activity,Low,Microsoft Entra ID
EV0116,Customer Service,Malware Detection,Low,Microsoft Entra ID
EV0117,HR,Privilege Escalation,Medium,Microsoft Entra ID
EV0118,HR,Suspicious Login,Low,Microsoft Sentinel
EV0119,Risk,Unusual Network Activity,Low,Microsoft Defender
EV0120,Underwriting,Malware Detection,Low,Microsoft Defender
EV0121,Operations,Unusual Network Activity,Medium,Microsoft Defender
EV0122,Finance,Malware Detection,Medium,Microsoft Entra ID
EV0123,Operations,Unusual Network Activity,Medium,Microsoft Defender
EV0124,Finance,Unusual Network Activity,Medium,Microsoft Defender
EV0125,Underwriting,Privilege Escalation,Low,Microsoft Sentinel
EV0126,Finance,Successful Login,Medium,Microsoft Entra ID
EV0127,Underwriting,Privilege Escalation,High,Microsoft Sentinel
EV0128,Underwriting,Phishing Alert,Low,Microsoft Entra ID
EV0129,IT,Malware Detection,Medium,Microsoft Entra ID
